student_id,course_id,gender,enrollment_reason,enrollment_status,final_grade,subject,semester,section,int,uv,percomp,tv,sum_discussion_posts,sum_n_words,overall_percent_earned,variability_percent_earned,n_with_100_pct
88995,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,85.7936,AnPhA,T116,01,4.2,4,4,4,NA,NA,0.9000294117647059,0.1276965182776115,10
89005,AnPhA-T116-01,M,Course Unavailable at Local School,Approved/Enrolled,87.6208,AnPhA,T116,01,5,5,3.5,5,NA,NA,0.9529411764705882,0.09557428132601681,14
90516,AnPhA-T116-01,F,Learning Preference of the Student,Approved/Enrolled,73.8816,AnPhA,T116,01,4.6,4,3.5,4.428571428571429,NA,NA,0.8625294117647059,0.20648343602032065,9
61965,BioA-S116-01,M,Learning Preference of the Student,Approved/Enrolled,77.65698925,BioA,S116,01,3.6,4,3,3.7142857142857144,6,136,0.7302857142857143,0.1969543428369459,3
68598,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,87.24408602,BioA,S116,01,4.2,3.3333333333333335,4,3.857142857142857,6,480,0.8707142857142857,0.18642899798352533,9
69937,BioA-S116-01,F,Learning Preference of the Student,Withdrawn,NA,BioA,S116,01,NA,3.6666666666666665,2,NA,NA,NA,0,NA,0
70408,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,91.50537634,BioA,S116,01,3.4,2.6666666666666665,2.5,3.142857142857143,13,871,0.9071428571428571,0.1127884804250564,12
70681,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,90.23655914,BioA,S116,01,4.8,4.333333333333333,3.5,4.571428571428571,12,563,0.9177142857142857,0.2319815694786335,9
71434,BioA-S116-01,M,Scheduling Conflict,Approved/Enrolled,83.96021505,BioA,S116,01,3.6,2.6666666666666665,3,3.142857142857143,6,409,0.8280857142857142,0.11650410705641116,6
77169,BioA-S116-01,M,Scheduling Conflict,Approved/Enrolled,93.8172043,BioA,S116,01,4,3.3333333333333335,3,3.7142857142857144,6,792,0.9685714285714285,0.04984548808264821,15
85292,BioA-S116-01,M,Scheduling Conflict,Approved/Enrolled,93.34946237,BioA,S116,01,2.4,3,3,2.7142857142857144,8,620,0.9393571428571428,0.06059402941721385,13
85889,BioA-S116-01,M,Learning Preference of the Student,Approved/Enrolled,7.580645161,BioA,S116,01,3.6,3.6666666666666665,4.5,3.5714285714285716,NA,NA,0.2642857142857143,0.23163252819479788,1
86067,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,88.78494624,BioA,S116,01,3.6,2.6666666666666665,3,3.4285714285714284,9,543,0.9330714285714286,0.0764481296734087,9
86110,BioA-S116-01,M,Learning Preference of the Student,Approved/Enrolled,75.11182796,BioA,S116,01,3.8,3,3,3.4285714285714284,6,150,0.7125714285714286,0.18157747135482433,1
86113,BioA-S116-01,F,Other,Approved/Enrolled,75.0827957,BioA,S116,01,3.8,3,4,3.4285714285714284,10,240,0.7866285714285715,0.1408971715999646,3
86130,BioA-S116-01,F,Other,Approved/Enrolled,72.84946237,BioA,S116,01,3.8,3.6666666666666665,3,3.7142857142857144,6,436,0.6271428571428571,0.2093536288853883,4
